year,countyfips,statefips,hel8,wcount,pfuel,lnp,pgt,bt,till,gt
2010,13027,13,0,1,2.8570001,*,*,*,*,*
2010,13093,13,0,1,2.8570001,*,*,*,*,*
2010,13305,13,0,1,2.8570001,*,*,*,*,*
2010,13229,13,0,1,2.8570001,*,*,*,*,*
2010,13001,13,0,1,2.8570001,*,*,*,*,*
2010,13001,13,0,1,2.8570001,*,*,*,*,*
2010,13229,13,0,1,2.8570001,*,*,*,*,*
2010,16045,16,0,-2,2.8545556,*,*,*,*,*
2010,16001,16,0,-2,2.8545556,*,*,*,*,*
2010,16027,16,0,-2,2.8545556,*,*,*,*,*
2010,16039,16,1,-2,2.8545556,*,*,*,*,*
2010,16045,16,0,-2,2.8545556,*,*,*,*,*
2010,16045,16,0,-2,2.8545556,*,*,*,*,*
2010,16039,16,1,-2,2.8545556,*,*,*,*,*
2010,16047,16,1,-2,2.8545556,*,*,*,*,*
2010,16053,16,1,-2,2.8545556,*,*,*,*,*
2010,16083,16,1,-2,2.8545556,*,*,*,*,*
2010,16047,16,1,-2,2.8545556,*,*,*,*,*
2010,16031,16,1,-2,2.8545556,*,*,*,*,*
2010,16083,16,1,-2,2.8545556,*,*,*,*,*
2010,16071,16,0,-2,2.8545556,*,*,*,*,*
2010,16077,16,1,-2,2.8545556,*,*,*,*,*
2010,17131,17,1,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17131,17,1,-6,2.806,*,*,*,*,*
2010,17201,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17201,17,0,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17085,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17201,17,0,-6,2.806,*,*,*,*,*
2010,17201,17,0,-6,2.806,*,*,*,*,*
2010,17131,17,1,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17085,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17131,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17131,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17085,17,1,-6,2.806,*,*,*,*,*
2010,17161,17,1,-6,2.806,*,*,*,*,*
2010,17177,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17085,17,1,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17073,17,1,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17103,17,0,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17015,17,1,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17155,17,0,-6,2.806,*,*,*,*,*
2010,17161,17,1,-6,2.806,*,*,*,*,*
2010,17195,17,0,-6,2.806,*,*,*,*,*
2010,17011,17,0,-6,2.806,*,*,*,*,*
2010,17141,17,0,-6,2.806,*,*,*,*,*
2010,17093,17,0,-6,2.806,*,*,*,*,*
2010,17007,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17031,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17197,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17197,17,0,-6,2.806,*,*,*,*,*
2010,17089,17,0,-6,2.806,*,*,*,*,*
2010,17063,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17197,17,0,-6,2.806,*,*,*,*,*
2010,17099,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17197,17,0,-6,2.806,*,*,*,*,*
2010,17037,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17063,17,0,-6,2.806,*,*,*,*,*
2010,17197,17,0,-6,2.806,*,*,*,*,*
2010,17111,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17109,17,0,-6,2.806,*,*,*,*,*
2010,17067,17,0,-6,2.806,*,*,*,*,*
2010,17057,17,0,-6,2.806,*,*,*,*,*
2010,17109,17,0,-6,2.806,*,*,*,*,*
